,AGE,GENDER,IS_COBRAND,TIER,YEARS_IN_PROGRAM,IS_AIRACCRUAL,IS_HOTELREDEMPTION,IS_INACTIVE
0,60,male,0,gold,3,1,0,1
1,74,male,1,base,2,0,1,0
2,29,female,0,gold,11,0,1,0
3,25,unknown,0,gold,3,1,1,0
4,29,female,1,base,8,1,1,1
5,61,unknown,1,silver,1,1,0,0
6,47,male,0,silver,8,1,1,1
7,42,female,0,silver,10,1,0,1
8,45,female,1,base,1,1,1,0
9,47,male,0,silver,9,1,0,0
10,64,male,1,silver,4,0,1,0
11,55,female,0,base,10,0,1,1
12,56,male,1,gold,6,0,0,0
13,23,female,1,silver,9,1,1,1
14,47,female,1,platinum,3,0,1,1
15,60,female,1,platinum,9,0,0,1
16,51,unknown,1,silver,8,1,1,0
17,67,unknown,1,silver,1,1,0,1
18,69,male,0,platinum,2,0,0,0
19,72,female,0,base,2,1,0,1
20,31,male,0,silver,10,1,1,1
21,47,male,0,platinum,4,0,0,0
22,37,female,1,platinum,4,0,0,0
23,50,unknown,1,base,6,1,0,1
24,17,male,1,platinum,8,0,1,1
25,37,female,0,silver,2,0,0,0
26,64,female,0,platinum,5,1,0,0
27,56,male,0,gold,1,0,0,0
28,48,unknown,1,gold,5,0,0,1
29,35,female,0,gold,10,1,1,0
30,24,male,1,silver,5,1,0,0
31,54,unknown,0,base,11,0,0,0
32,44,female,0,silver,11,1,1,1
33,65,unknown,1,base,10,1,1,1
34,56,female,0,silver,1,1,0,1
35,22,unknown,1,silver,3,0,0,0
36,50,female,1,gold,5,0,0,0
37,18,male,1,silver,11,0,1,1
38,36,unknown,1,silver,1,0,1,0
39,74,unknown,1,gold,1,0,1,1
40,43,unknown,0,gold,10,1,0,1
41,40,female,0,platinum,5,1,1,0
42,28,unknown,0,gold,11,1,0,0
43,34,male,1,silver,5,0,0,1
44,33,female,1,base,3,1,1,1
45,26,unknown,0,silver,11,1,1,0
46,41,female,0,gold,3,1,1,0
47,69,male,0,base,1,1,0,1
48,21,female,0,platinum,9,1,0,0
49,72,female,0,platinum,10,0,0,0
50,52,female,1,silver,11,0,0,1
51,67,female,0,base,3,1,1,1
52,41,male,0,platinum,4,1,0,0
53,65,unknown,1,platinum,10,1,1,0
54,67,male,1,silver,6,1,0,1
55,37,unknown,1,platinum,3,1,1,1
56,30,male,0,gold,9,0,1,1
57,54,female,0,platinum,7,1,0,1
58,68,unknown,0,silver,11,1,0,1
59,22,female,0,platinum,9,1,1,1
60,72,male,0,silver,2,1,1,0
61,72,unknown,0,base,1,1,1,0
62,37,female,0,gold,10,0,1,0
63,71,male,0,silver,8,1,0,1
64,24,male,0,base,2,1,0,1
65,66,female,0,gold,7,1,1,1
66,21,female,0,platinum,11,1,0,1
67,39,female,0,base,1,0,0,1
68,59,female,0,gold,9,0,1,1
69,30,male,0,base,2,0,1,0
70,62,male,1,silver,6,0,0,0
71,19,male,0,gold,8,1,1,1
72,35,female,0,platinum,1,1,1,0
73,73,male,0,base,5,1,1,0
74,46,male,0,silver,11,0,1,0
75,66,unknown,0,gold,6,0,0,1
76,12,female,1,platinum,1,0,1,1
77,58,male,0,silver,1,1,1,0
78,59,male,1,base,2,0,0,0
79,19,female,1,platinum,11,0,1,0
80,64,male,0,platinum,10,0,0,1
81,59,female,1,gold,11,1,1,1
82,13,female,0,gold,2,1,0,1
83,59,female,1,gold,4,1,0,1
84,52,male,0,base,2,1,1,0
85,17,female,1,gold,5,1,0,0
86,35,male,0,gold,7,0,1,1
87,45,unknown,1,base,1,1,1,0
88,24,male,1,base,1,1,1,1
89,74,male,1,gold,4,1,1,0
90,51,unknown,0,base,8,1,0,1
91,44,female,0,base,5,1,0,0
92,43,male,1,gold,7,1,0,1
93,34,female,1,platinum,8,0,0,0
94,44,female,0,gold,5,1,0,1
95,24,female,1,platinum,6,0,0,1
96,68,unknown,0,gold,1,1,0,1
97,17,male,1,base,6,0,0,1
98,20,female,0,platinum,7,0,0,1
99,35,female,0,platinum,2,0,0,1
100,49,unknown,0,base,4,1,1,1
101,37,male,0,base,11,1,1,1
102,43,female,0,base,9,0,1,1
103,44,female,0,silver,4,1,0,1
104,59,unknown,0,base,9,0,0,0
105,56,unknown,1,base,4,0,1,1
106,41,female,1,silver,7,0,1,0
107,39,unknown,0,base,5,1,1,0
108,71,female,1,base,10,0,0,0
109,26,unknown,0,gold,9,1,1,1
110,14,male,0,base,2,0,1,1
111,72,unknown,1,silver,6,0,1,1
112,68,female,1,gold,1,0,0,1
113,36,female,0,silver,2,1,1,0
114,20,male,1,platinum,3,1,0,1
115,46,unknown,1,gold,7,0,1,0
116,24,male,1,silver,5,0,0,1
117,17,unknown,0,gold,3,0,1,0
118,52,unknown,0,platinum,6,1,1,1
119,56,unknown,1,gold,11,1,1,0
120,20,female,0,gold,3,0,1,0
121,27,unknown,0,silver,6,1,0,0
122,67,unknown,1,gold,8,1,0,1
123,65,female,0,platinum,1,1,0,0
124,41,female,0,gold,3,0,0,0
125,38,male,0,platinum,3,0,0,0
126,38,female,1,gold,10,0,1,0
127,14,unknown,1,base,11,1,0,1
128,23,unknown,1,base,3,0,0,1
129,61,unknown,1,gold,11,1,0,1
130,54,male,1,platinum,5,0,0,1
131,41,female,1,platinum,4,0,0,1
132,70,male,1,base,6,1,1,1
133,18,unknown,0,platinum,9,1,1,1
134,52,male,0,gold,10,1,1,0
135,46,unknown,1,silver,2,0,0,0
136,37,male,1,gold,10,0,0,1
137,53,male,1,platinum,8,0,1,1
138,17,unknown,0,gold,8,1,0,0
139,66,male,1,platinum,9,0,0,0
140,70,male,0,platinum,8,0,1,1
141,62,female,0,gold,9,0,0,0
